link,name,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Free kick accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing tackle,Sliding tackle,GK diving,GK handling,GK kicking,GK positioning,GK reflexes
http://sofifa.com/player/169705,Ryan Bertrand,82,50,69,76,43,77,74,66,70,79,79,79,76,76,68,59,71,83,73,54,73,77,63,51,52,76,79,82,82,11,13,15,10,15
http://sofifa.com/player/164859,Theo Walcott,74,76,58,74,71,81,76,74,63,78,92,91,83,77,77,76,66,73,60,65,65,35,79,72,74,76,33,39,36,11,8,9,9,8
http://sofifa.com/player/186132,Danny Drinkwater,64,60,61,80,70,76,72,69,82,79,67,69,70,79,78,77,56,85,76,72,74,76,74,78,53,77,70,79,76,12,6,8,9,12
http://sofifa.com/player/163155,Ben Foster,15,18,14,36,14,14,15,17,32,25,50,48,45,72,50,27,75,32,57,14,15,23,14,42,41,67,15,15,14,78,79,73,77,82
http://sofifa.com/player/169596,Ryan Shawcross,33,53,83,63,35,42,34,24,69,54,46,51,62,73,53,44,68,76,89,28,87,80,31,50,48,69,79,80,79,10,12,7,13,15
http://sofifa.com/player/198784,Alex Oxlade-Chamberlain,75,68,39,77,58,84,67,53,73,80,87,88,84,74,88,75,66,75,70,72,66,51,74,72,69,73,52,57,54,16,9,6,9,9
http://sofifa.com/player/207494,Jesse Lingard,72,1,61,78,64,81,74,56,65,82,84,83,85,76,84,76,65,81,61,78,66,53,80,1,65,77,52,46,44,14,10,8,13,9
http://sofifa.com/player/204935,Jordan Pickford,17,19,15,50,20,14,18,16,53,38,48,41,33,4,50,31,66,44,56,13,25,24,18,66,41,51,14,20,12,77,77,86,74,82
http://sofifa.com/player/186345,Kieran Trippier,87,45,70,73,44,75,80,68,76,75,78,77,77,72,76,77,74,87,71,66,70,76,60,78,39,71,77,77,79,11,14,8,11,10
http://sofifa.com/player/190717,Michail Antonio,74,74,1,73,3,82,66,60,1,78,85,87,86,1,79,76,84,77,87,72,2,40,78,1,73,71,44,56,53,12,13,8,14,10
http://sofifa.com/player/205569,James Ward-Prowse,88,61,57,83,51,71,88,83,82,81,67,65,74,74,79,74,68,77,61,70,67,65,62,82,80,79,55,65,62,12,12,10,15,15
http://sofifa.com/player/186115,Kieran Gibbs,76,47,68,74,47,74,64,52,65,75,77,80,73,77,74,67,71,77,69,60,72,78,63,65,63,75,76,79,78,6,11,8,9,15
http://sofifa.com/player/183125,Troy Deeney,55,80,82,73,78,65,68,36,60,75,64,65,65,74,73,86,82,77,92,78,80,29,77,73,80,78,33,29,25,10,11,16,12,15
http://sofifa.com/player/195671,Charlie Austin,56,82,81,59,72,66,59,43,46,74,64,65,64,78,55,83,82,70,80,71,67,47,83,61,86,78,31,37,22,9,11,7,9,13
http://sofifa.com/player/194932,Andros Townsend,77,72,52,75,59,82,71,76,67,79,86,84,82,71,72,82,48,79,59,77,61,21,70,71,76,68,39,31,27,13,11,11,11,13
http://sofifa.com/player/183427,Fabian Delph,72,63,56,82,59,83,72,53,75,79,77,74,89,77,86,80,68,89,68,73,83,77,72,72,65,76,73,79,75,10,9,14,11,6
http://sofifa.com/player/205988,Luke Shaw,80,44,65,75,58,77,63,58,64,78,80,83,78,75,75,62,68,72,79,48,74,78,73,65,53,73,74,79,77,10,12,13,7,7
http://sofifa.com/player/6826,Gareth Barry,80,56,3,81,65,68,2,73,74,76,30,33,43,80,60,1,68,3,2,69,80,81,58,74,72,81,77,78,77,7,13,9,7,12
http://sofifa.com/player/169706,Jack Cork,66,60,73,80,60,75,73,58,78,77,61,58,63,79,71,72,73,88,80,56,72,80,70,76,58,80,73,78,76,13,11,16,6,6
http://sofifa.com/player/189682,Ben Mee,67,27,77,61,29,63,38,31,65,65,66,66,66,74,72,60,91,79,83,39,79,77,30,50,36,71,78,77,78,15,7,12,10,14
http://sofifa.com/player/203263,Harry Maguire,41,30,79,73,33,69,37,46,68,69,43,57,43,70,56,61,71,72,88,40,75,75,55,60,40,72,77,79,76,14,16,9,14,9
http://sofifa.com/player/182836,Andy Carroll,62,77,90,65,74,67,53,42,57,74,2,1,62,77,49,83,84,68,92,77,88,45,76,65,73,1,42,46,43,14,14,12,10,6
http://sofifa.com/player/198719,Nathan Redmond,72,69,33,73,55,83,69,65,63,80,89,86,91,65,86,71,50,72,47,71,38,22,74,73,57,70,18,26,30,12,14,16,6,10
http://sofifa.com/player/169792,Jay Rodriguez,68,77,76,75,74,77,69,29,66,75,76,78,75,77,64,74,81,76,71,72,41,44,80,69,71,75,16,28,21,12,12,16,14,9
http://sofifa.com/player/152908,Ashley Young,85,65,57,77,73,78,86,72,71,79,80,78,81,79,77,75,57,73,62,70,64,73,68,76,65,68,68,72,68,16,10,15,16,15
http://sofifa.com/player/183130,Marc Albrighton,84,67,42,68,71,77,82,73,73,77,79,79,79,71,81,72,62,86,62,67,73,56,73,74,60,70,41,50,45,15,9,8,15,14
http://sofifa.com/player/194138,Andre Gray,61,80,65,66,67,72,57,39,54,71,90,89,78,72,75,80,72,79,82,64,70,33,79,67,74,71,22,23,20,11,16,11,9,14
http://sofifa.com/player/172203,Fraser Forster,19,13,13,27,19,20,10,19,19,33,32,35,32,70,42,36,59,29,80,12,43,22,13,44,22,34,13,13,12,75,78,69,76,80
http://sofifa.com/player/163761,Curtis Davies,25,35,78,59,33,43,26,25,55,65,64,64,62,75,56,49,80,65,84,34,68,79,42,56,33,72,76,77,77,7,9,10,15,10
http://sofifa.com/player/157665,Scott Dann,30,40,83,63,29,38,30,29,65,63,44,45,46,76,54,52,69,73,82,32,73,79,36,55,30,71,75,78,77,6,10,15,7,9
http://sofifa.com/player/189165,Jonjo Shelvey,73,67,69,82,56,74,66,73,84,75,61,62,62,72,65,85,65,77,76,81,84,58,70,80,71,73,55,64,59,14,11,15,8,16
http://sofifa.com/player/169214,Scott Sinclair,72,76,67,73,65,80,70,69,50,77,92,91,88,70,81,75,67,89,62,66,45,45,77,68,80,71,19,30,28,13,11,10,13,15
http://sofifa.com/player/195859,Danny Ings,62,77,71,69,66,77,57,36,61,76,83,82,77,74,79,74,81,75,73,67,60,39,79,68,68,70,33,24,27,10,13,12,16,6
http://sofifa.com/player/189725,Tom Cleverley,74,64,48,78,68,74,59,62,77,77,64,70,72,77,77,74,62,75,58,75,71,65,74,77,72,69,47,71,52,15,11,9,12,13
http://sofifa.com/player/152879,Mark Noble,71,60,62,76,68,74,71,67,77,76,45,47,65,73,74,74,59,83,72,68,81,73,64,77,88,77,65,74,75,7,6,14,16,11
http://sofifa.com/player/200758,Liam Moore,58,20,74,71,34,63,37,24,67,69,67,74,59,76,66,55,83,75,81,32,77,73,37,60,20,71,74,74,75,8,9,7,8,10
http://sofifa.com/player/205897,Nathaniel Chalobah,58,55,71,78,53,74,51,38,79,76,69,70,74,69,65,75,71,74,75,67,72,70,62,76,49,68,72,77,73,12,9,15,8,8
http://sofifa.com/player/196978,Callum Wilson,52,79,65,70,65,73,62,45,60,75,92,89,78,70,77,69,66,75,78,64,73,40,77,71,75,78,20,39,25,10,15,8,10,6
http://sofifa.com/player/13732,John Terry,42,46,83,67,55,45,44,31,65,59,33,34,42,73,46,61,80,50,83,33,75,74,38,59,52,82,81,73,76,14,5,6,15,8
http://sofifa.com/player/152747,Aaron Lennon,77,65,28,76,68,82,63,55,54,80,83,81,91,74,91,64,70,69,59,57,57,42,71,73,62,77,40,37,37,14,7,7,16,11
http://sofifa.com/player/202695,James Tarkowski,56,36,75,68,40,62,51,57,69,67,63,65,62,71,60,63,80,76,82,38,76,74,40,53,52,74,75,76,75,14,8,12,9,7
http://sofifa.com/player/135883,Simon Francis,75,25,69,73,26,66,51,61,67,73,62,67,58,73,58,64,60,72,81,62,75,71,55,62,44,71,77,79,77,12,6,10,8,12
http://sofifa.com/player/199633,Matthew Lowton,75,52,71,72,70,72,68,46,63,74,76,75,72,76,71,72,77,81,75,68,76,74,62,68,49,74,73,74,76,11,6,6,13,7
http://sofifa.com/player/172768,Andrew Surman,68,63,59,82,55,72,61,68,77,75,62,60,63,74,72,68,72,77,69,67,68,65,66,77,67,75,62,68,62,16,14,7,16,8
http://sofifa.com/player/173546,James Tomkins,45,29,78,63,28,50,33,31,60,58,50,53,51,74,53,40,74,73,76,29,73,75,45,50,43,69,75,79,79,11,8,6,9,14
http://sofifa.com/player/199915,Lewis Dunk,27,37,75,68,24,60,23,32,74,68,45,60,52,75,44,70,67,70,84,21,80,78,30,45,36,72,71,75,74,15,16,9,12,6
http://sofifa.com/player/193011,Steve Cook,40,24,74,70,31,54,22,22,61,67,60,53,56,73,69,47,73,68,82,16,77,75,15,35,20,70,77,78,75,14,12,7,14,12
http://sofifa.com/player/204289,Saido Berahino,51,77,67,62,68,75,63,61,55,76,80,76,73,71,71,78,62,64,64,68,47,33,79,54,73,68,20,18,23,7,11,14,10,15
http://sofifa.com/player/54051,Wayne Routledge,74,69,34,73,71,83,61,28,72,77,71,72,79,73,87,68,71,68,67,55,36,39,72,74,63,69,30,37,46,15,11,8,10,15
http://sofifa.com/player/205670,Dwight Gayle,59,79,68,62,68,70,54,75,53,71,85,82,83,74,80,73,71,66,62,72,46,35,78,34,73,76,12,21,13,10,7,16,8,8
http://sofifa.com/player/164464,Bradley Wright-Phillips,54,82,65,62,71,67,61,50,45,70,73,73,74,82,78,75,76,75,65,67,65,42,82,64,67,77,19,24,15,12,13,13,10,6
http://sofifa.com/player/173436,Nathan Dyer,64,73,32,74,52,80,58,42,65,77,84,82,85,66,92,75,72,71,55,74,69,35,72,66,70,67,33,45,48,12,11,14,8,16
http://sofifa.com/player/140415,Leon Britton,65,55,41,85,47,74,61,58,1,81,47,46,76,2,91,51,70,2,3,48,1,73,3,79,59,84,1,2,4,10,16,7,7,15
http://sofifa.com/player/169600,Danny Simpson,68,27,71,64,50,64,44,32,60,69,70,68,65,76,80,37,79,79,72,54,79,77,58,63,54,67,78,77,76,10,15,13,9,11
http://sofifa.com/player/189059,Jake Livermore,65,60,69,77,59,71,69,58,75,75,65,64,65,74,72,72,69,84,77,69,83,76,61,71,57,79,70,72,66,9,15,8,10,9
http://sofifa.com/player/189324,Alex McCarthy,11,17,16,33,12,17,15,18,35,17,58,56,35,69,43,20,68,35,63,14,35,22,16,50,41,63,13,13,12,76,73,61,74,78
http://sofifa.com/player/205989,Calum Chambers,70,47,68,73,49,67,59,49,65,73,61,67,66,64,67,52,71,71,75,56,81,71,54,54,54,66,75,79,77,11,14,12,7,12
http://sofifa.com/player/169638,Charlie Daniels,74,52,64,73,49,74,67,68,69,74,77,75,73,70,72,69,78,79,72,49,51,71,71,71,72,69,72,76,74,14,16,13,6,7
http://sofifa.com/player/202408,Aden Flint,21,54,83,57,29,33,24,25,52,57,47,51,31,72,27,60,74,69,89,26,81,72,49,42,38,60,73,70,74,13,10,8,10,11
http://sofifa.com/player/189615,Aaron Cresswell,80,53,1,72,45,76,76,69,68,75,76,74,77,68,90,71,85,82,1,62,68,71,63,68,59,72,76,75,77,14,7,9,9,12
http://sofifa.com/player/206516,Will Hughes,64,61,58,77,46,77,56,48,73,78,68,65,73,75,78,58,54,74,61,56,67,62,68,79,60,78,67,68,67,7,15,12,9,12
http://sofifa.com/player/222400,Harry Winks,62,54,50,83,50,73,67,60,75,78,77,70,77,70,73,63,54,76,65,62,58,61,64,78,51,78,60,68,61,8,11,14,13,10
http://sofifa.com/player/201155,Ravel Morrison,68,66,49,78,65,80,65,70,74,79,71,74,75,58,76,72,42,41,58,71,63,35,66,74,56,68,35,55,43,14,15,13,12,8
http://sofifa.com/player/220633,Demarai Gray,69,67,31,66,54,83,70,58,59,78,90,90,90,69,82,74,55,73,60,71,41,23,69,65,58,65,21,23,20,6,11,11,13,10
http://sofifa.com/player/186598,Kyle Naughton,71,45,70,73,52,64,43,28,66,68,74,74,71,70,70,68,73,74,68,52,68,73,54,59,47,67,71,78,79,12,10,9,9,11
http://sofifa.com/player/194806,Craig Dawson,68,49,81,65,20,55,45,24,60,67,62,67,62,69,50,57,83,81,77,14,74,74,56,51,66,68,76,78,75,7,8,7,7,5
http://sofifa.com/player/189446,Junior Stanislas,71,70,43,73,51,73,71,75,66,75,77,83,79,68,63,70,48,76,58,67,31,60,67,73,61,66,16,27,29,13,8,6,7,6
http://sofifa.com/player/54033,Tom Huddlestone,75,60,72,77,79,65,70,74,83,80,34,50,33,73,44,89,56,39,87,73,76,73,63,78,72,80,72,71,66,10,7,11,9,11
http://sofifa.com/player/186392,Joel Ward,70,46,75,68,33,64,43,34,69,67,64,65,64,72,61,68,66,77,76,63,74,77,64,66,40,72,76,76,77,8,7,7,10,11
http://sofifa.com/player/221982,Patrick Roberts,66,68,44,73,52,81,66,49,65,78,83,76,91,63,90,65,49,63,30,67,38,21,71,76,62,76,22,18,19,12,7,8,7,12
http://sofifa.com/player/160292,Ben Watson,74,67,58,79,63,68,80,76,77,76,57,45,70,73,75,73,74,75,70,64,61,72,64,71,78,74,64,72,69,13,8,14,6,6
http://sofifa.com/player/137782,Glen Johnson,75,54,68,75,56,76,69,54,70,75,71,68,72,72,67,79,77,69,70,70,71,68,69,69,60,68,74,75,76,13,7,7,6,7
http://sofifa.com/player/51257,Peter Crouch,59,76,2,75,80,2,57,50,63,1,31,34,55,1,28,74,31,4,1,2,68,23,82,74,74,76,31,26,20,13,14,7,10,14
http://sofifa.com/player/200521,Tom Ince,71,71,40,67,44,77,75,73,59,76,81,77,87,68,81,70,55,68,52,71,38,30,73,70,68,67,22,24,21,9,12,15,8,8
http://sofifa.com/player/230005,Tom Davies,66,64,56,79,40,75,48,55,74,77,74,73,77,65,75,70,57,83,69,56,81,58,68,76,42,75,55,64,58,11,12,9,14,10
http://sofifa.com/player/213666,Ruben Loftus-Cheek,57,61,57,79,31,77,31,31,78,76,70,72,69,60,67,51,59,77,80,59,75,62,75,74,45,71,64,67,61,11,7,12,15,13
http://sofifa.com/player/182184,Dale Stephens,70,63,65,77,69,64,67,61,73,72,63,63,69,73,66,67,89,84,68,70,78,72,66,71,44,78,69,74,69,11,15,8,13,10
http://sofifa.com/player/213689,Ben Pearson,49,47,50,70,40,71,45,40,69,71,70,70,70,66,75,63,74,90,79,44,95,73,57,62,42,67,72,74,74,8,15,9,16,11
http://sofifa.com/player/200408,Ben Gibson,28,24,74,64,20,33,31,22,57,61,65,64,57,63,70,33,77,66,79,28,62,72,24,29,21,53,77,77,74,12,8,16,16,11
http://sofifa.com/player/190683,Ryan Mason,70,1,55,78,64,2,70,66,74,74,5,67,76,2,77,3,48,75,62,72,1,68,74,73,69,71,70,72,69,7,10,10,16,14
http://sofifa.com/player/203487,Jamaal Lascelles,46,23,74,61,33,46,29,16,54,58,62,62,72,69,52,40,83,67,83,27,69,70,21,39,19,66,79,74,72,10,15,7,10,15
http://sofifa.com/player/203505,Joe Bryan,67,61,68,68,45,70,65,57,65,67,84,85,82,69,85,65,90,81,75,61,64,73,63,65,61,65,67,75,74,13,14,14,9,14
http://sofifa.com/player/183546,Jonathan Hogg,58,54,64,74,53,67,46,41,69,68,73,68,67,73,72,61,66,91,75,54,77,74,58,63,41,70,68,73,72,6,8,13,14,11
http://sofifa.com/player/186116,Henri Lansbury,66,68,47,73,57,68,69,70,73,73,61,62,69,69,65,70,62,81,75,73,81,67,70,73,72,71,56,60,62,11,16,15,14,13
http://sofifa.com/player/186385,Adam Clayton,69,59,45,75,40,67,67,66,72,70,67,69,70,71,72,70,61,72,65,69,82,75,55,69,66,76,63,73,70,14,9,10,12,10
http://sofifa.com/player/220697,James Maddison,61,64,30,72,65,73,77,77,70,75,78,74,87,68,79,83,56,64,41,72,56,39,65,74,60,72,28,40,34,11,14,14,12,14
http://sofifa.com/player/193569,Tom Lees,63,36,73,66,20,59,33,20,62,63,61,63,61,66,68,38,81,70,80,35,69,69,38,56,42,72,74,73,72,13,14,14,9,15
http://sofifa.com/player/224294,Lewis Cook,57,56,47,77,44,76,58,60,74,76,77,70,78,69,80,60,60,77,63,58,79,66,63,70,45,71,61,68,66,6,15,12,15,13
http://sofifa.com/player/205351,Alex Pritchard,63,67,42,73,63,76,75,77,65,75,77,69,76,64,85,76,52,67,39,69,67,37,70,76,66,58,34,40,43,13,13,14,10,8
http://sofifa.com/player/186156,Luke Ayling,67,39,66,66,32,1,41,36,61,68,74,75,72,70,71,63,76,86,73,55,65,72,58,59,38,71,72,74,70,9,11,11,9,8
http://sofifa.com/player/186158,Kyle Bartley,39,24,78,65,23,44,33,34,53,64,58,53,41,62,32,36,33,71,87,20,81,70,25,38,46,66,72,73,70,6,10,14,10,7
http://sofifa.com/player/211504,Lewis Baker,73,74,58,77,71,72,78,76,75,77,67,70,69,67,71,82,57,74,72,80,58,58,64,72,77,67,48,52,46,8,15,12,8,6
http://sofifa.com/player/231485,Axel Tuanzebe,42,26,71,70,41,63,45,37,65,63,74,76,68,66,64,46,73,69,74,34,70,70,41,52,50,68,73,74,73,5,8,5,13,12
http://sofifa.com/player/203841,Nick Pope,11,14,11,32,14,15,13,12,35,24,50,47,36,66,45,17,61,37,68,15,36,21,13,43,22,48,15,15,14,74,71,76,71,75
http://sofifa.com/player/156253,Joe Lewis,11,19,13,23,15,11,18,19,33,21,55,57,63,63,44,23,74,35,70,13,34,23,16,56,18,62,18,12,13,77,68,67,71,76
http://sofifa.com/player/189280,Ashley Westwood,76,47,44,76,48,65,71,75,79,77,68,63,73,76,79,62,63,78,65,57,55,70,54,76,55,76,62,66,64,10,13,13,7,8
http://sofifa.com/player/184436,Alex Smithies,14,11,17,22,13,14,11,11,15,23,59,59,33,65,44,46,82,39,66,13,37,24,17,43,21,42,15,12,17,76,69,68,74,74
http://sofifa.com/player/179574,Gary Hooper,59,76,72,69,67,65,48,50,48,71,70,68,67,69,73,77,72,69,73,67,54,15,75,60,72,79,17,27,15,13,7,9,16,12
http://sofifa.com/player/169607,Lee Cattermole,61,49,66,67,58,63,57,58,2,1,66,65,64,70,71,1,65,79,76,59,93,69,47,65,64,67,1,1,1,11,9,15,14,15
http://sofifa.com/player/200841,Carl Jenkinson,72,41,62,69,60,68,60,52,64,68,64,74,62,70,67,72,65,76,74,41,71,70,67,62,49,62,74,75,74,12,15,15,11,12
http://sofifa.com/player/172937,Glenn Murray,48,77,81,65,67,63,57,33,55,70,47,51,59,74,73,74,83,62,77,62,79,45,80,68,75,77,24,29,23,15,16,14,7,10
http://sofifa.com/player/208534,Alfie Mawson,23,52,79,62,45,47,22,24,52,63,53,53,50,64,51,53,78,61,85,21,69,73,25,26,32,67,74,72,69,14,12,12,14,10
http://sofifa.com/player/193942,Jack Colback,61,54,56,77,47,66,60,59,70,73,65,61,74,70,73,71,79,81,59,64,82,70,53,61,59,65,68,73,74,6,6,6,10,7
http://sofifa.com/player/187033,Sean Morrison,30,22,74,55,20,43,20,27,47,54,51,53,57,65,48,52,77,66,85,18,81,73,25,31,47,57,69,71,72,16,6,16,11,16
http://sofifa.com/player/190885,Adam Smith,72,43,56,72,40,74,59,66,61,72,77,75,74,73,69,72,53,76,68,68,67,70,63,69,48,72,72,75,72,8,9,15,9,6
http://sofifa.com/player/184749,Dan Gosling,68,65,61,73,64,66,57,57,71,71,64,60,65,69,71,71,67,76,66,73,76,71,77,73,61,77,66,68,68,6,15,14,15,6
http://sofifa.com/player/206517,Jack Grealish,68,59,36,75,60,78,71,62,66,76,76,74,79,59,80,60,34,68,50,63,43,37,69,72,58,75,27,30,30,11,6,11,10,13
http://sofifa.com/player/166838,Marc Pugh,71,68,66,69,49,77,60,69,59,75,74,69,82,69,66,67,63,78,66,66,60,37,72,69,64,71,30,44,31,14,15,13,8,10
http://sofifa.com/player/231352,Tammy Abraham,37,73,72,64,44,66,50,42,41,68,80,80,68,71,60,75,71,71,81,62,41,22,73,60,72,70,19,22,15,12,7,8,13,13
http://sofifa.com/player/182207,David Stockdale,11,15,11,42,12,13,15,12,45,22,32,36,24,1,37,20,51,25,61,13,39,22,13,51,19,34,11,15,13,74,2,79,69,77
http://sofifa.com/player/152514,Jason Puncheon,74,66,49,75,68,73,75,75,74,74,67,66,2,73,83,70,63,74,68,68,72,59,73,74,73,74,65,63,58,13,13,14,16,12
http://sofifa.com/player/204760,Charlie Taylor,75,49,64,66,43,71,69,61,59,70,77,73,75,71,73,63,75,79,73,59,74,72,63,65,45,70,70,72,71,13,6,14,13,8
http://sofifa.com/player/189403,Nathan Baker,44,30,74,54,30,26,41,20,40,48,51,54,46,72,48,61,74,64,82,19,85,70,23,27,35,46,72,71,75,11,6,14,9,11
http://sofifa.com/player/53739,Lee Grant,19,17,14,26,15,11,17,19,24,20,47,40,49,67,45,24,63,34,58,19,42,23,14,56,20,59,12,13,19,74,70,69,72,75
http://sofifa.com/player/169708,Sam Hutchinson,68,51,66,73,40,62,49,56,71,67,64,67,61,70,63,57,75,68,74,53,92,76,48,56,55,70,69,71,75,10,7,12,11,10
http://sofifa.com/player/101880,Rob Green,19,12,15,26,12,14,16,13,14,15,50,34,48,71,40,22,68,26,59,11,26,20,13,58,21,49,12,12,11,74,70,61,73,76
http://sofifa.com/player/120312,Michael Dawson,19,25,78,57,23,17,23,11,71,59,31,28,50,68,52,62,76,54,79,21,78,74,35,43,44,70,76,73,72,8,6,6,13,15
http://sofifa.com/player/202491,Tom Carroll,60,57,46,83,58,65,66,65,76,75,67,65,78,69,74,59,45,72,42,58,47,55,67,75,56,68,53,54,47,11,10,11,9,11
http://sofifa.com/player/208892,Sam Byram,70,59,66,70,43,72,55,33,65,72,75,75,76,74,70,66,79,78,71,60,68,68,65,68,50,70,69,73,72,10,9,15,16,13
http://sofifa.com/player/221697,Ollie Watkins,64,68,58,71,53,76,60,56,59,70,79,85,82,66,73,68,58,66,67,64,34,44,69,73,56,45,26,41,36,14,14,14,6,10
http://sofifa.com/player/206594,Solly March,67,66,40,67,54,79,70,64,62,73,86,85,82,59,79,74,42,74,61,71,49,30,63,64,55,70,35,50,42,9,11,7,13,15
http://sofifa.com/player/203783,Tommy Smith,74,38,65,68,20,65,59,41,62,67,76,73,60,72,63,29,64,79,71,22,71,67,67,68,41,63,71,73,69,15,14,14,14,9
http://sofifa.com/player/163600,John Ruddy,14,7,12,25,11,11,13,13,23,24,38,47,23,73,22,24,76,36,76,15,24,22,15,36,18,53,11,11,11,71,67,74,73,71
http://sofifa.com/player/199960,Jamie Paterson,72,67,57,67,57,1,67,67,63,70,85,82,89,66,77,66,72,70,41,67,27,32,65,74,64,67,20,18,27,14,8,12,12,7
http://sofifa.com/player/186139,Matty James,70,59,63,76,44,68,68,66,74,75,65,54,62,69,70,72,67,72,70,58,64,68,63,71,52,73,67,69,64,7,10,15,8,14
http://sofifa.com/player/210985,Ben Osborn,70,57,47,72,68,72,68,70,66,70,82,79,90,64,87,70,37,88,51,69,52,41,63,73,42,64,49,59,44,10,11,13,7,15
http://sofifa.com/player/222513,Rolando Aarons,72,62,51,70,55,78,69,46,62,77,85,83,79,59,79,70,47,65,47,55,33,28,60,57,59,62,30,29,31,15,6,10,10,7
http://sofifa.com/player/211506,John Swift,69,71,60,72,70,77,72,70,72,73,73,67,84,69,73,72,60,74,62,71,59,55,71,74,62,72,59,62,58,14,7,10,7,9
http://sofifa.com/player/171831,Michael Mancienne,45,27,68,69,40,56,32,25,65,67,72,74,71,66,62,65,80,71,76,22,70,73,35,52,41,59,70,72,70,15,14,9,12,11
http://sofifa.com/player/178487,Craig Gardner,72,63,68,69,71,66,74,76,72,73,54,52,69,74,71,87,69,80,74,80,87,68,68,71,81,76,70,71,73,12,9,9,16,14
http://sofifa.com/player/202048,Conor Coady,60,62,68,69,65,64,53,59,66,68,57,63,59,65,60,73,61,75,72,69,83,70,59,63,62,73,69,73,71,8,15,10,12,8
